#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
IDN,Indonesia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.901,2017
IDN,Indonesia,123306,"Expected years of schooling, female (years)",12.8443,2017
IDN,Indonesia,123406,"Expected years of schooling, male (years)",12.7874,2017
IDN,Indonesia,123506,"Estimated gross national income per capita, female (2011 PPP $)",7259.166834,2017
IDN,Indonesia,123606,"Estimated gross national income per capita, male (2011 PPP $)",14384.77764,2017
IDN,Indonesia,127606,Domestic credit provided by financial sector (% of GDP),46.96748995,2017
IDN,Indonesia,132706,Population ages 65 and older (millions),14.042962,2017
IDN,Indonesia,132806,Population under age 5 (millions),24.724942,2017
IDN,Indonesia,133206,Exports and imports (% of GDP),39.5362,2017
IDN,Indonesia,135006,Coefficient of human inequality,18.70737104,2017
IDN,Indonesia,136706,GDP per capita (2011 PPP $),11188.74402,2017
IDN,Indonesia,136906,"Human Development Index (HDI), female",0.666148571,2017
IDN,Indonesia,137006,"Human Development Index (HDI), male",0.714598289,2017
IDN,Indonesia,137506,Human Development Index (HDI),0.693979664,2017
IDN,Indonesia,137906,Gender Development Index (GDI),0.932200064,2017
IDN,Indonesia,138806,Inequality-adjusted HDI (IHDI),0.563303805,2017
IDN,Indonesia,140606,"Unemployment, total (% of labour force)",4.3,2017
IDN,Indonesia,141706,Gross national income (GNI) per capita (2011 PPP $),10846.33795,2017
IDN,Indonesia,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2953.731962,2017
IDN,Indonesia,146206,HDI rank,116,2017
IDN,Indonesia,147906,Youth not in school or employment (% ages 15-24),21.45,2017
IDN,Indonesia,148206,Labour force participation rate (% ages 15 and older),66.3,2017
IDN,Indonesia,148306,Employment to population ratio (% ages 15 and older),63.4,2017
IDN,Indonesia,150606,Employment in agriculture (% of total employment),31.2,2017
IDN,Indonesia,150706,Employment in services (% of total employment),47.1,2017
IDN,Indonesia,153706,Working poor at PPP$3.10 a day (% of total employment),27.6,2017
IDN,Indonesia,169706,Total unemployment rate (female to male ratio),0.866666667,2017
IDN,Indonesia,169806,Youth unemployment rate (female to male ratio),1.006451613,2017
IDN,Indonesia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.4,2017
IDN,Indonesia,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",60.9,2017
IDN,Indonesia,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",14.5,2017
IDN,Indonesia,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),51.35491943,2017
IDN,Indonesia,178306,Gross capital formation (% of GDP),33.44721083,2017
IDN,Indonesia,179406,Skilled labour force (% of labour force),40.8,2017
IDN,Indonesia,181606,Red List Index (value),0.76276,2017
IDN,Indonesia,23806,Population with at least some secondary education (% ages 25 and older),48.80207,2016
IDN,Indonesia,23906,"Population with at least some secondary education, female (% ages 25 and older)",44.46585,2016
IDN,Indonesia,24006,"Population with at least some secondary education, male (% ages 25 and older)",53.21026,2016
IDN,Indonesia,24106,"Mean years of schooling, female (years)",7.4516,2016
IDN,Indonesia,24206,"Mean years of schooling, male (years)",8.385,2016
IDN,Indonesia,31706,Share of seats in parliament (% held by women),17.11711712,2016
IDN,Indonesia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",47.374,2016
IDN,Indonesia,43006,Vulnerable employment (% of total employment),47.5,2016
IDN,Indonesia,43606,"Internet users, total (% of population)",25.36630059,2016
IDN,Indonesia,44206,Total population (millions),261.115456,2016
IDN,Indonesia,45106,Urban population (%),54,2016
IDN,Indonesia,46006,Mobile phone subscriptions (per 100 people),147.664,2016
IDN,Indonesia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",13.97814,2016
IDN,Indonesia,48706,"Labour force participation rate (% ages 15 and older), female",50.8,2016
IDN,Indonesia,48806,"Labour force participation rate (% ages 15 and older), male",82,2016
IDN,Indonesia,49006,Sex ratio at birth (male to female births),1.05,2016
IDN,Indonesia,52606,"Remittances, inflows (% of GDP)",0.955387,2016
IDN,Indonesia,53506,"Foreign direct investment, net inflows (% of GDP)",0.487174,2016
IDN,Indonesia,57206,"Mortality rate, infant (per 1,000 live births)",22.2,2016
IDN,Indonesia,57506,"Mortality rate, under-five (per 1,000 live births)",26.4,2016
IDN,Indonesia,57806,"Mortality rate, female adult (per 1,000 people)",143.435,2016
IDN,Indonesia,57906,"Mortality rate, male adult (per 1,000 people)",203.988,2016
IDN,Indonesia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2016
IDN,Indonesia,61006,"Homicide rate (per 100,000 people)",0.4951,2016
IDN,Indonesia,63106,Population ages 15–64 (millions),175.328,2016
IDN,Indonesia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",103.45504,2016
IDN,Indonesia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",86.04771,2016
IDN,Indonesia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",27.93947,2016
IDN,Indonesia,64306,"Infants lacking immunization, measles (% of one-year-olds)",24,2016
IDN,Indonesia,64406,"Infants lacking immunization, DPT (% of one-year-olds)",5,2016
IDN,Indonesia,65606,Gross fixed capital formation (% of GDP),32.56450507,2016
IDN,Indonesia,68606,Gender Inequality Index (GII),0.461795952,2016
IDN,Indonesia,69206,Life expectancy at birth (years),69.191,2016
IDN,Indonesia,69706,Expected years of schooling (years),12.81311,2016
IDN,Indonesia,71406,Inequality-adjusted education index,0.492388642,2016
IDN,Indonesia,71506,Inequality-adjusted life expectancy index,0.645065043,2016
IDN,Indonesia,71606,Inequality-adjusted income index,0.580936234,2016
IDN,Indonesia,73506,Overall loss in HDI due to inequality (%),17.64755625,2016
IDN,Indonesia,99106,Net official development assistance received (% of GNI),-0.012418,2016
IDN,Indonesia,101406,"Literacy rate, adult (% ages 15 and older)",95.37697,2016
IDN,Indonesia,101606,Inequality in education (%),20.81128,2016
IDN,Indonesia,101706,Inequality in income (%),17.2563,2016
IDN,Indonesia,101806,Inequality in life expectancy (%),14.7624,2016
IDN,Indonesia,103006,Mean years of schooling (years),7.97615,2016
IDN,Indonesia,103206,Life expectancy index,0.756784615,2016
IDN,Indonesia,103606,Income index,0.702091197,2016
IDN,Indonesia,103706,Education index,0.621791389,2016
IDN,Indonesia,110906,"Unemployment, youth (% ages 15–24)",14.9,2016
IDN,Indonesia,111106,International inbound tourists (thousands),11519,2016
IDN,Indonesia,111306,Private capital flows (% of GDP),-3.768438,2016
IDN,Indonesia,120606,"Life expectancy at birth, female (years)",71.364,2016
IDN,Indonesia,121106,"Life expectancy at birth, male (years)",67.15,2016
IDN,Indonesia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),41.183,2016
IDN,Indonesia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.747,2016
IDN,Indonesia,123306,"Expected years of schooling, female (years)",12.8443,2016
IDN,Indonesia,123406,"Expected years of schooling, male (years)",12.7874,2016
IDN,Indonesia,123506,"Estimated gross national income per capita, female (2011 PPP $)",6980.929819,2016
IDN,Indonesia,123606,"Estimated gross national income per capita, male (2011 PPP $)",13843.22719,2016
IDN,Indonesia,127606,Domestic credit provided by financial sector (% of GDP),47.9361711,2016
IDN,Indonesia,132706,Population ages 65 and older (millions),13.58217,2016
IDN,Indonesia,132806,Population under age 5 (millions),24.822,2016
IDN,Indonesia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",60.26397,2016
IDN,Indonesia,133206,Exports and imports (% of GDP),37.4389,2016
IDN,Indonesia,135006,Coefficient of human inequality,17.60999333,2016
IDN,Indonesia,136706,GDP per capita (2011 PPP $),10766.37145,2016
IDN,Indonesia,136906,"Human Development Index (HDI), female",0.663258478,2016
IDN,Indonesia,137006,"Human Development Index (HDI), male",0.712085213,2016
IDN,Indonesia,137506,Human Development Index (HDI),0.69130576,2016
IDN,Indonesia,137906,Gender Development Index (GDI),0.931431331,2016
IDN,Indonesia,138806,Inequality-adjusted HDI (IHDI),0.569307187,2016
IDN,Indonesia,140606,"Unemployment, total (% of labour force)",4.1,2016
IDN,Indonesia,141706,Gross national income (GNI) per capita (2011 PPP $),10436.50786,2016
IDN,Indonesia,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2811.26599,2016
IDN,Indonesia,146206,HDI rank,115,2016
IDN,Indonesia,147906,Youth not in school or employment (% ages 15-24),22.48,2016
IDN,Indonesia,148206,Labour force participation rate (% ages 15 and older),66.4,2016
IDN,Indonesia,148306,Employment to population ratio (% ages 15 and older),63.6,2016
IDN,Indonesia,150606,Employment in agriculture (% of total employment),31.8,2016
IDN,Indonesia,150706,Employment in services (% of total employment),46.5,2016
IDN,Indonesia,153706,Working poor at PPP$3.10 a day (% of total employment),28.3,2016
IDN,Indonesia,164406,Adjusted net savings (% of GNI),15.98125984,2016
IDN,Indonesia,169706,Total unemployment rate (female to male ratio),0.840909091,2016
IDN,Indonesia,169806,Youth unemployment rate (female to male ratio),1,2016
IDN,Indonesia,170006,Concentration index (exports) (value),0.127777948,2016
IDN,Indonesia,174206,"Total debt service (% of exports of goods, services and primary income)",39.56046882,2016
IDN,Indonesia,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",112.4,2016
IDN,Indonesia,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",7.1,2016
IDN,Indonesia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.36,2016
IDN,Indonesia,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",59.4,2016
IDN,Indonesia,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",16.2,2016
IDN,Indonesia,178306,Gross capital formation (% of GDP),33.84499191,2016
IDN,Indonesia,179406,Skilled labour force (% of labour force),40.3,2016
IDN,Indonesia,181206,Proportion of births attended by skilled health personnel (%),92.6,2016
IDN,Indonesia,181706,Rural population with access to electricity (%),94.77313657,2016
IDN,Indonesia,182106,"Malaria incidence (per 1,000 people at risk)",9.223,2016
IDN,Indonesia,182206,"Tuberculosis incidence (per 100,000 people)",391,2016
IDN,Indonesia,23806,Population with at least some secondary education (% ages 25 and older),47.29392,2015
IDN,Indonesia,23906,"Population with at least some secondary education, female (% ages 25 and older)",42.92845,2015
IDN,Indonesia,24006,"Population with at least some secondary education, male (% ages 25 and older)",51.73851,2015
IDN,Indonesia,24106,"Mean years of schooling, female (years)",7.3984,2015
IDN,Indonesia,24206,"Mean years of schooling, male (years)",8.385,2015
IDN,Indonesia,31706,Share of seats in parliament (% held by women),17.11711712,2015
IDN,Indonesia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",48.9245,2015
IDN,Indonesia,43006,Vulnerable employment (% of total employment),47.4,2015
IDN,Indonesia,43606,"Internet users, total (% of population)",21.97606771,2015
IDN,Indonesia,44206,Total population (millions),258.162113,2015
IDN,Indonesia,45106,Urban population (%),53.3,2015
IDN,Indonesia,46006,Mobile phone subscriptions (per 100 people),131.293,2015
IDN,Indonesia,47906,Median age (years),28.01,2015
IDN,Indonesia,48706,"Labour force participation rate (% ages 15 and older), female",48.9,2015
IDN,Indonesia,48806,"Labour force participation rate (% ages 15 and older), male",82.7,2015
IDN,Indonesia,49006,Sex ratio at birth (male to female births),1.05,2015
IDN,Indonesia,52606,"Remittances, inflows (% of GDP)",1.12204,2015
IDN,Indonesia,53506,"Foreign direct investment, net inflows (% of GDP)",2.29762,2015
IDN,Indonesia,57206,"Mortality rate, infant (per 1,000 live births)",22.9,2015
IDN,Indonesia,57506,"Mortality rate, under-five (per 1,000 live births)",27.3,2015
IDN,Indonesia,57806,"Mortality rate, female adult (per 1,000 people)",145.664,2015
IDN,Indonesia,57906,"Mortality rate, male adult (per 1,000 people)",205.464,2015
IDN,Indonesia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2015
IDN,Indonesia,61006,"Homicide rate (per 100,000 people)",0.5775,2015
IDN,Indonesia,63106,Population ages 15–64 (millions),173.088,2015
IDN,Indonesia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.13334,2015
IDN,Indonesia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",87.29935,2015
IDN,Indonesia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",23.30209,2015
IDN,Indonesia,64306,"Infants lacking immunization, measles (% of one-year-olds)",25,2015
IDN,Indonesia,64406,"Infants lacking immunization, DPT (% of one-year-olds)",5,2015
IDN,Indonesia,65606,Gross fixed capital formation (% of GDP),32.81192658,2015
IDN,Indonesia,68606,Gender Inequality Index (GII),0.468078791,2015
IDN,Indonesia,69206,Life expectancy at birth (years),69.025,2015
IDN,Indonesia,69706,Expected years of schooling (years),12.67097,2015
IDN,Indonesia,71406,Inequality-adjusted education index,0.487634151,2015
IDN,Indonesia,71506,Inequality-adjusted life expectancy index,0.629526254,2015
IDN,Indonesia,71606,Inequality-adjusted income index,0.576060987,2015
IDN,Indonesia,73506,Overall loss in HDI due to inequality (%),18.22210005,2015
IDN,Indonesia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",126,2015
IDN,Indonesia,99106,Net official development assistance received (% of GNI),-0.004013,2015
IDN,Indonesia,100806,Forest area (% of total land area),50.23819118,2015
IDN,Indonesia,101406,"Literacy rate, adult (% ages 15 and older)",95.21793,2015
IDN,Indonesia,101606,Inequality in education (%),20.81128,2015
IDN,Indonesia,101706,Inequality in income (%),17.2563,2015
IDN,Indonesia,101806,Inequality in life expectancy (%),16.534,2015
IDN,Indonesia,103006,Mean years of schooling (years),7.91448,2015
IDN,Indonesia,103206,Life expectancy index,0.754230769,2015
IDN,Indonesia,103606,Income index,0.696199211,2015
IDN,Indonesia,103706,Education index,0.615787389,2015
IDN,Indonesia,110806,"Net migration rate (per 1,000 people)",-0.667,2015
IDN,Indonesia,110906,"Unemployment, youth (% ages 15–24)",16.7,2015
IDN,Indonesia,111106,International inbound tourists (thousands),10407,2015
IDN,Indonesia,111306,Private capital flows (% of GDP),-3.123312,2015
IDN,Indonesia,112506,"Suicide rate, male (per 100,000 people)",4.5,2015
IDN,Indonesia,112606,"Suicide rate, female (per 100,000 people)",1.6,2015
IDN,Indonesia,120606,"Life expectancy at birth, female (years)",71.175,2015
IDN,Indonesia,121106,"Life expectancy at birth, male (years)",67.004,2015
IDN,Indonesia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),41.551,2015
IDN,Indonesia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.599,2015
IDN,Indonesia,123306,"Expected years of schooling, female (years)",12.6557,2015
IDN,Indonesia,123406,"Expected years of schooling, male (years)",12.6853,2015
IDN,Indonesia,123506,"Estimated gross national income per capita, female (2011 PPP $)",6653.562112,2015
IDN,Indonesia,123606,"Estimated gross national income per capita, male (2011 PPP $)",13371.11677,2015
IDN,Indonesia,127606,Domestic credit provided by financial sector (% of GDP),46.77406625,2015
IDN,Indonesia,132706,Population ages 65 and older (millions),13.15354,2015
IDN,Indonesia,132806,Population under age 5 (millions),24.5925,2015
IDN,Indonesia,133206,Exports and imports (% of GDP),41.9376,2015
IDN,Indonesia,135006,Coefficient of human inequality,18.20052667,2015
IDN,Indonesia,136706,GDP per capita (2011 PPP $),10367.70199,2015
IDN,Indonesia,136906,"Human Development Index (HDI), female",0.657336304,2015
IDN,Indonesia,137006,"Human Development Index (HDI), male",0.708655072,2015
IDN,Indonesia,137506,Human Development Index (HDI),0.686366673,2015
IDN,Indonesia,137906,Gender Development Index (GDI),0.927582868,2015
IDN,Indonesia,138806,Inequality-adjusted HDI (IHDI),0.561296251,2015
IDN,Indonesia,140606,"Unemployment, total (% of labour force)",4.5,2015
IDN,Indonesia,141706,Gross national income (GNI) per capita (2011 PPP $),10037.26486,2015
IDN,Indonesia,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2676.547853,2015
IDN,Indonesia,147906,Youth not in school or employment (% ages 15-24),22.92,2015
IDN,Indonesia,148206,Labour force participation rate (% ages 15 and older),65.8,2015
IDN,Indonesia,148306,Employment to population ratio (% ages 15 and older),62.9,2015
IDN,Indonesia,149206,Government expenditure on education (% of GDP),3.581929922,2015
IDN,Indonesia,150606,Employment in agriculture (% of total employment),33,2015
IDN,Indonesia,150706,Employment in services (% of total employment),44.9,2015
IDN,Indonesia,153706,Working poor at PPP$3.10 a day (% of total employment),30.4,2015
IDN,Indonesia,163906,Renewable energy consumption (% of total final energy consumption),36.8793481,2015
IDN,Indonesia,164406,Adjusted net savings (% of GNI),13.60237442,2015
IDN,Indonesia,169706,Total unemployment rate (female to male ratio),1,2015
IDN,Indonesia,169806,Youth unemployment rate (female to male ratio),1,2015
IDN,Indonesia,170006,Concentration index (exports) (value),0.137764753,2015
IDN,Indonesia,174206,"Total debt service (% of exports of goods, services and primary income)",31.99102126,2015
IDN,Indonesia,175006,Female share of employment in senior and middle management (%),21.5,2015
IDN,Indonesia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",37.37,2015
IDN,Indonesia,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",61.5,2015
IDN,Indonesia,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",14.4,2015
IDN,Indonesia,176806,Programme for International Student Assessment (PISA) score in science,403,2015
IDN,Indonesia,176906,Programme for International Student Assessment (PISA) score in reading,397,2015
IDN,Indonesia,177006,Programme for International Student Assessment (PISA) score in mathematics,386,2015
IDN,Indonesia,177106,Population using improved drinking-water sources (%),89.52403041,2015
IDN,Indonesia,177206,Population using improved sanitation facilities (%),67.88660816,2015
IDN,Indonesia,177706,Survival rate to the last grade of lower secondary general education (%),97.25462,2015
IDN,Indonesia,178306,Gross capital formation (% of GDP),34.06279218,2015
IDN,Indonesia,179406,Skilled labour force (% of labour force),38.7,2015
IDN,Indonesia,179706,Ratio of education and health expenditure to military expenditure,7.808737384,2015
IDN,Indonesia,181706,Rural population with access to electricity (%),95.22907841,2015
IDN,Indonesia,181806,Current health expenditure (% of GDP),3.34743,2015
IDN,Indonesia,182106,"Malaria incidence (per 1,000 people at risk)",9.279,2015
IDN,Indonesia,182206,"Tuberculosis incidence (per 100,000 people)",395,2015
IDN,Indonesia,23806,Population with at least some secondary education (% ages 25 and older),47.29392,2014
IDN,Indonesia,23906,"Population with at least some secondary education, female (% ages 25 and older)",42.92845,2014
IDN,Indonesia,24006,"Population with at least some secondary education, male (% ages 25 and older)",51.73851,2014
IDN,Indonesia,24106,"Mean years of schooling, female (years)",7.3984,2014
IDN,Indonesia,24206,"Mean years of schooling, male (years)",8.2764,2014
IDN,Indonesia,27706,"Carbon dioxide emissions, per capita (tonnes)",1.819363319,2014
IDN,Indonesia,31706,Share of seats in parliament (% held by women),16.93693694,2014
IDN,Indonesia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",49.3376,2014
IDN,Indonesia,43006,Vulnerable employment (% of total employment),49.6,2014
IDN,Indonesia,43606,"Internet users, total (% of population)",17.14,2014
IDN,Indonesia,44206,Total population (millions),255.131116,2014
IDN,Indonesia,45106,Urban population (%),52.6,2014
IDN,Indonesia,46006,Mobile phone subscriptions (per 100 people),127.614,2014
IDN,Indonesia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",16.55935,2014
IDN,Indonesia,48706,"Labour force participation rate (% ages 15 and older), female",50.5,2014
IDN,Indonesia,48806,"Labour force participation rate (% ages 15 and older), male",83.7,2014
IDN,Indonesia,52606,"Remittances, inflows (% of GDP)",0.959926,2014
IDN,Indonesia,53506,"Foreign direct investment, net inflows (% of GDP)",2.81997,2014
IDN,Indonesia,57206,"Mortality rate, infant (per 1,000 live births)",23.7,2014
IDN,Indonesia,57506,"Mortality rate, under-five (per 1,000 live births)",28.3,2014
IDN,Indonesia,57806,"Mortality rate, female adult (per 1,000 people)",147.893,2014
IDN,Indonesia,57906,"Mortality rate, male adult (per 1,000 people)",206.941,2014
IDN,Indonesia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2014
IDN,Indonesia,61006,"Homicide rate (per 100,000 people)",0.5005,2014
IDN,Indonesia,63106,Population ages 15–64 (millions),170.545,2014
IDN,Indonesia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.73789,2014
IDN,Indonesia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",83.55867,2014
IDN,Indonesia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",29.56034,2014
IDN,Indonesia,64306,"Infants lacking immunization, measles (% of one-year-olds)",25,2014
IDN,Indonesia,64406,"Infants lacking immunization, DPT (% of one-year-olds)",5,2014
IDN,Indonesia,65606,Gross fixed capital formation (% of GDP),32.51674144,2014
IDN,Indonesia,68606,Gender Inequality Index (GII),0.471411808,2014
IDN,Indonesia,69206,Life expectancy at birth (years),68.856,2014
IDN,Indonesia,69706,Expected years of schooling (years),12.76851,2014
IDN,Indonesia,71406,Inequality-adjusted education index,0.486958428,2014
IDN,Indonesia,71506,Inequality-adjusted life expectancy index,0.628363323,2014
IDN,Indonesia,71606,Inequality-adjusted income index,0.571210187,2014
IDN,Indonesia,73506,Overall loss in HDI due to inequality (%),18.18888289,2014
IDN,Indonesia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",133,2014
IDN,Indonesia,99106,Net official development assistance received (% of GNI),-0.044363,2014
IDN,Indonesia,100806,Forest area (% of total land area),50.61598503,2014
IDN,Indonesia,101406,"Literacy rate, adult (% ages 15 and older)",95.11622,2014
IDN,Indonesia,101606,Inequality in education (%),20.8,2014
IDN,Indonesia,101706,Inequality in income (%),17.3,2014
IDN,Indonesia,101806,Inequality in life expectancy (%),16.4,2014
IDN,Indonesia,103006,Mean years of schooling (years),7.80497,2014
IDN,Indonesia,103206,Life expectancy index,0.751630769,2014
IDN,Indonesia,103606,Income index,0.690701556,2014
IDN,Indonesia,103706,Education index,0.6148465,2014
IDN,Indonesia,110906,"Unemployment, youth (% ages 15–24)",15.2,2014
IDN,Indonesia,111106,International inbound tourists (thousands),9435,2014
IDN,Indonesia,111306,Private capital flows (% of GDP),-4.580058,2014
IDN,Indonesia,120606,"Life expectancy at birth, female (years)",70.99,2014
IDN,Indonesia,121106,"Life expectancy at birth, male (years)",66.848,2014
IDN,Indonesia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),42.074,2014
IDN,Indonesia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.524,2014
IDN,Indonesia,123306,"Expected years of schooling, female (years)",12.7706,2014
IDN,Indonesia,123406,"Expected years of schooling, male (years)",12.7651,2014
IDN,Indonesia,123506,"Estimated gross national income per capita, female (2011 PPP $)",6237.002182,2014
IDN,Indonesia,123606,"Estimated gross national income per capita, male (2011 PPP $)",13067.00512,2014
IDN,Indonesia,127606,Domestic credit provided by financial sector (% of GDP),43.4238447,2014
IDN,Indonesia,132706,Population ages 65 and older (millions),12.83101,2014
IDN,Indonesia,132806,Population under age 5 (millions),24.5018,2014
IDN,Indonesia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",56.26446,2014
IDN,Indonesia,133206,Exports and imports (% of GDP),48.0802,2014
IDN,Indonesia,135006,Coefficient of human inequality,18.16666667,2014
IDN,Indonesia,136706,GDP per capita (2011 PPP $),10003.08903,2014
IDN,Indonesia,136906,"Human Development Index (HDI), female",0.65427414,2014
IDN,Indonesia,137006,"Human Development Index (HDI), male",0.706275618,2014
IDN,Indonesia,137506,Human Development Index (HDI),0.683419285,2014
IDN,Indonesia,137906,Gender Development Index (GDI),0.92637226,2014
IDN,Indonesia,138806,Inequality-adjusted HDI (IHDI),0.559112952,2014
IDN,Indonesia,140606,"Unemployment, total (% of labour force)",4.1,2014
IDN,Indonesia,141706,Gross national income (GNI) per capita (2011 PPP $),9678.527519,2014
IDN,Indonesia,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2552.099268,2014
IDN,Indonesia,147906,Youth not in school or employment (% ages 15-24),22.35,2014
IDN,Indonesia,148206,Labour force participation rate (% ages 15 and older),67.1,2014
IDN,Indonesia,148306,Employment to population ratio (% ages 15 and older),64.4,2014
IDN,Indonesia,149206,Government expenditure on education (% of GDP),3.288009882,2014
IDN,Indonesia,150606,Employment in agriculture (% of total employment),34.3,2014
IDN,Indonesia,150706,Employment in services (% of total employment),44.3,2014
IDN,Indonesia,153706,Working poor at PPP$3.10 a day (% of total employment),34.7,2014
IDN,Indonesia,163906,Renewable energy consumption (% of total final energy consumption),37.45426835,2014
IDN,Indonesia,164406,Adjusted net savings (% of GNI),11.27754453,2014
IDN,Indonesia,169706,Total unemployment rate (female to male ratio),0.951219512,2014
IDN,Indonesia,169806,Youth unemployment rate (female to male ratio),1.013333333,2014
IDN,Indonesia,170006,Concentration index (exports) (value),0.151621647,2014
IDN,Indonesia,174206,"Total debt service (% of exports of goods, services and primary income)",30.70512855,2014
